Ad_ID,Ad_Copy,Account_Age_Days,Historical_Flags,FailedAdGroupFraudRule
AD-202600349,Earn standard rewards points back on everyday grocery purchases with our card.,312,1,0
AD-202600350,"Standard household kitchen blender. 3 speeds, stainless steel blades.",293,1,0
AD-202600351,Affordable life insurance policies for families. Get a free quote today.,295,1,0
AD-202600352,"Standard household kitchen blender. 3 speeds, stainless steel blades.",585,0,0
AD-202600353,"Standard household kitchen blender. 3 speeds, stainless steel blades.",539,0,0
AD-202600354,Click here to see a shocking viral video! WARNING: explicit details inside.,106,5,103
AD-202600355,Affordable life insurance policies for families. Get a free quote today.,116,1,0
AD-202600356,Get rich quick! Earn $5000/day from home with zero risk. Register now!,81,0,101
AD-202600357,"Standard household kitchen blender. 3 speeds, stainless steel blades.",308,0,0
AD-202600358,"Standard household kitchen blender. 3 speeds, stainless steel blades.",704,0,0
AD-202600359,Affordable life insurance policies for families. Get a free quote today.,678,1,0
AD-202600360,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,562,1,102
AD-202600361,Click here to see a shocking viral video! WARNING: explicit details inside.,644,2,103
AD-202600362,Click here to see a shocking viral video! WARNING: explicit details inside.,372,0,103
AD-202600363,Earn standard rewards points back on everyday grocery purchases with our card.,333,1,0
AD-202600364,"Standard household kitchen blender. 3 speeds, stainless steel blades.",694,1,0
AD-202600365,Click here to see a shocking viral video! WARNING: explicit details inside.,446,4,103
AD-202600366,Affordable life insurance policies for families. Get a free quote today.,266,1,0
AD-202600367,Get rich quick! Earn $5000/day from home with zero risk. Register now!,403,3,101
AD-202600368,Click here to see a shocking viral video! WARNING: explicit details inside.,641,2,103
AD-202600369,"Standard household kitchen blender. 3 speeds, stainless steel blades.",67,1,0
AD-202600370,Get rich quick! Earn $5000/day from home with zero risk. Register now!,191,3,101
AD-202600371,Affordable life insurance policies for families. Get a free quote today.,163,0,0
AD-202600372,Earn standard rewards points back on everyday grocery purchases with our card.,377,0,0
AD-202600373,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,615,4,102
AD-202600374,Affordable life insurance policies for families. Get a free quote today.,379,0,0
AD-202600375,Affordable life insurance policies for families. Get a free quote today.,471,1,0
AD-202600376,"Standard household kitchen blender. 3 speeds, stainless steel blades.",213,0,0
AD-202600377,Affordable life insurance policies for families. Get a free quote today.,681,1,0
AD-202600378,"Standard household kitchen blender. 3 speeds, stainless steel blades.",502,0,0
AD-202600379,Affordable life insurance policies for families. Get a free quote today.,534,0,0
AD-202600380,"Standard household kitchen blender. 3 speeds, stainless steel blades.",7,0,0
AD-202600381,Click here to see a shocking viral video! WARNING: explicit details inside.,155,0,103
AD-202600382,"Standard household kitchen blender. 3 speeds, stainless steel blades.",434,0,0
AD-202600383,Earn standard rewards points back on everyday grocery purchases with our card.,238,0,0
AD-202600384,Affordable life insurance policies for families. Get a free quote today.,205,0,0
AD-202600385,Affordable life insurance policies for families. Get a free quote today.,583,1,0
AD-202600386,"Standard household kitchen blender. 3 speeds, stainless steel blades.",668,1,0
AD-202600387,Click here to see a shocking viral video! WARNING: explicit details inside.,676,0,103
AD-202600388,Earn standard rewards points back on everyday grocery purchases with our card.,205,1,0
AD-202600389,"Standard household kitchen blender. 3 speeds, stainless steel blades.",719,1,0
AD-202600390,Earn standard rewards points back on everyday grocery purchases with our card.,234,0,0
AD-202600391,"Standard household kitchen blender. 3 speeds, stainless steel blades.",33,1,0
AD-202600392,"Standard household kitchen blender. 3 speeds, stainless steel blades.",433,0,0
AD-202600393,"Standard household kitchen blender. 3 speeds, stainless steel blades.",621,0,0
AD-202600394,Get rich quick! Earn $5000/day from home with zero risk. Register now!,602,0,101
AD-202600395,"Standard household kitchen blender. 3 speeds, stainless steel blades.",535,1,0
AD-202600396,"Standard household kitchen blender. 3 speeds, stainless steel blades.",559,1,0
AD-202600397,"Standard household kitchen blender. 3 speeds, stainless steel blades.",696,1,0
AD-202600398,"Standard household kitchen blender. 3 speeds, stainless steel blades.",106,1,0
AD-202600399,Earn standard rewards points back on everyday grocery purchases with our card.,723,1,0
AD-202600400,"Standard household kitchen blender. 3 speeds, stainless steel blades.",358,0,0
AD-202600401,Affordable life insurance policies for families. Get a free quote today.,609,1,0
AD-202600402,Earn standard rewards points back on everyday grocery purchases with our card.,69,1,0
AD-202600403,"Standard household kitchen blender. 3 speeds, stainless steel blades.",306,1,0
AD-202600404,Affordable life insurance policies for families. Get a free quote today.,622,0,0
AD-202600405,"Standard household kitchen blender. 3 speeds, stainless steel blades.",527,0,0
AD-202600406,"Standard household kitchen blender. 3 speeds, stainless steel blades.",151,0,0
AD-202600407,Earn standard rewards points back on everyday grocery purchases with our card.,219,0,0
AD-202600408,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,173,1,102
AD-202600409,Get rich quick! Earn $5000/day from home with zero risk. Register now!,509,1,101
AD-202600410,"Standard household kitchen blender. 3 speeds, stainless steel blades.",269,1,0
AD-202600411,"Standard household kitchen blender. 3 speeds, stainless steel blades.",384,0,0
AD-202600412,Get rich quick! Earn $5000/day from home with zero risk. Register now!,512,4,101
AD-202600413,Affordable life insurance policies for families. Get a free quote today.,337,0,0
AD-202600414,Affordable life insurance policies for families. Get a free quote today.,270,1,0
AD-202600415,Get rich quick! Earn $5000/day from home with zero risk. Register now!,659,0,101
AD-202600416,Click here to see a shocking viral video! WARNING: explicit details inside.,25,1,103
AD-202600417,Affordable life insurance policies for families. Get a free quote today.,264,0,0
AD-202600418,"Standard household kitchen blender. 3 speeds, stainless steel blades.",199,0,0
AD-202600419,Earn standard rewards points back on everyday grocery purchases with our card.,14,0,0
AD-202600420,Earn standard rewards points back on everyday grocery purchases with our card.,209,0,0
AD-202600421,Click here to see a shocking viral video! WARNING: explicit details inside.,549,1,103
AD-202600422,Earn standard rewards points back on everyday grocery purchases with our card.,586,0,0
AD-202600423,Earn standard rewards points back on everyday grocery purchases with our card.,71,1,0
AD-202600424,Earn standard rewards points back on everyday grocery purchases with our card.,17,0,0
AD-202600425,Affordable life insurance policies for families. Get a free quote today.,714,1,0
AD-202600426,Earn standard rewards points back on everyday grocery purchases with our card.,473,0,0
AD-202600427,Earn standard rewards points back on everyday grocery purchases with our card.,3,1,0
AD-202600428,Affordable life insurance policies for families. Get a free quote today.,408,0,0
AD-202600429,"Standard household kitchen blender. 3 speeds, stainless steel blades.",334,0,0
AD-202600430,"Standard household kitchen blender. 3 speeds, stainless steel blades.",625,1,0
AD-202600431,Earn standard rewards points back on everyday grocery purchases with our card.,291,0,0
AD-202600432,Affordable life insurance policies for families. Get a free quote today.,243,1,0
AD-202600433,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,83,0,102
AD-202600434,"Standard household kitchen blender. 3 speeds, stainless steel blades.",530,0,0
AD-202600435,"Standard household kitchen blender. 3 speeds, stainless steel blades.",290,1,0
AD-202600436,Earn standard rewards points back on everyday grocery purchases with our card.,635,1,0
AD-202600437,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,147,3,102
AD-202600438,"Standard household kitchen blender. 3 speeds, stainless steel blades.",530,1,0
AD-202600439,Affordable life insurance policies for families. Get a free quote today.,106,0,0
AD-202600440,Affordable life insurance policies for families. Get a free quote today.,213,0,0
AD-202600441,"Standard household kitchen blender. 3 speeds, stainless steel blades.",336,0,0
AD-202600442,Affordable life insurance policies for families. Get a free quote today.,551,1,0
AD-202600443,"Standard household kitchen blender. 3 speeds, stainless steel blades.",393,1,0
AD-202600444,"Standard household kitchen blender. 3 speeds, stainless steel blades.",481,0,0
AD-202600445,Earn standard rewards points back on everyday grocery purchases with our card.,102,1,0
AD-202600446,"Standard household kitchen blender. 3 speeds, stainless steel blades.",278,0,0
AD-202600447,Affordable life insurance policies for families. Get a free quote today.,653,0,0
AD-202600448,Earn standard rewards points back on everyday grocery purchases with our card.,92,1,0
AD-202600449,"Standard household kitchen blender. 3 speeds, stainless steel blades.",598,0,0
AD-202600450,Earn standard rewards points back on everyday grocery purchases with our card.,137,0,0
AD-202600451,Affordable life insurance policies for families. Get a free quote today.,142,0,0
AD-202600452,Affordable life insurance policies for families. Get a free quote today.,627,0,0
AD-202600453,Click here to see a shocking viral video! WARNING: explicit details inside.,511,2,103
AD-202600454,Earn standard rewards points back on everyday grocery purchases with our card.,123,0,0
AD-202600455,"Standard household kitchen blender. 3 speeds, stainless steel blades.",377,1,0
AD-202600456,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,671,2,102
AD-202600457,"Standard household kitchen blender. 3 speeds, stainless steel blades.",536,1,0
AD-202600458,Get rich quick! Earn $5000/day from home with zero risk. Register now!,607,0,101
AD-202600459,Affordable life insurance policies for families. Get a free quote today.,14,1,0
AD-202600460,Affordable life insurance policies for families. Get a free quote today.,608,1,0
AD-202600461,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,223,3,102
AD-202600462,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,90,2,102
AD-202600463,Earn standard rewards points back on everyday grocery purchases with our card.,630,1,0
AD-202600464,"Standard household kitchen blender. 3 speeds, stainless steel blades.",214,0,0
AD-202600465,Earn standard rewards points back on everyday grocery purchases with our card.,294,0,0
AD-202600466,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,154,2,102
AD-202600467,Earn standard rewards points back on everyday grocery purchases with our card.,588,1,0
AD-202600468,Click here to see a shocking viral video! WARNING: explicit details inside.,500,1,103
AD-202600469,"Standard household kitchen blender. 3 speeds, stainless steel blades.",508,0,0
AD-202600470,Affordable life insurance policies for families. Get a free quote today.,649,0,0
AD-202600471,Affordable life insurance policies for families. Get a free quote today.,523,1,0
AD-202600472,Click here to see a shocking viral video! WARNING: explicit details inside.,407,2,103
AD-202600473,Affordable life insurance policies for families. Get a free quote today.,678,1,0
AD-202600474,"Standard household kitchen blender. 3 speeds, stainless steel blades.",506,1,0
AD-202600475,Earn standard rewards points back on everyday grocery purchases with our card.,664,1,0
AD-202600476,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,282,5,102
AD-202600477,"Standard household kitchen blender. 3 speeds, stainless steel blades.",285,0,0
AD-202600478,"Standard household kitchen blender. 3 speeds, stainless steel blades.",680,1,0
AD-202600479,"Standard household kitchen blender. 3 speeds, stainless steel blades.",621,0,0
AD-202600480,Get rich quick! Earn $5000/day from home with zero risk. Register now!,317,0,101
AD-202600481,Affordable life insurance policies for families. Get a free quote today.,246,0,0
AD-202600482,"Standard household kitchen blender. 3 speeds, stainless steel blades.",565,1,0
AD-202600483,Earn standard rewards points back on everyday grocery purchases with our card.,310,0,0
AD-202600484,Earn standard rewards points back on everyday grocery purchases with our card.,189,0,0
AD-202600485,Click here to see a shocking viral video! WARNING: explicit details inside.,440,3,103
AD-202600486,Earn standard rewards points back on everyday grocery purchases with our card.,165,1,0
AD-202600487,Affordable life insurance policies for families. Get a free quote today.,466,1,0
AD-202600488,"Standard household kitchen blender. 3 speeds, stainless steel blades.",556,0,0
AD-202600489,"Standard household kitchen blender. 3 speeds, stainless steel blades.",541,1,0
AD-202600490,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,389,0,102
AD-202600491,"Standard household kitchen blender. 3 speeds, stainless steel blades.",426,1,0
AD-202600492,"Standard household kitchen blender. 3 speeds, stainless steel blades.",99,1,0
AD-202600493,Earn standard rewards points back on everyday grocery purchases with our card.,207,1,0
AD-202600494,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,501,0,102
AD-202600495,Earn standard rewards points back on everyday grocery purchases with our card.,132,1,0
AD-202600496,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,684,1,102
AD-202600497,"Standard household kitchen blender. 3 speeds, stainless steel blades.",544,0,0
AD-202600498,Earn standard rewards points back on everyday grocery purchases with our card.,593,0,0
AD-202600499,Get rich quick! Earn $5000/day from home with zero risk. Register now!,616,5,101
AD-202600500,"Standard household kitchen blender. 3 speeds, stainless steel blades.",356,0,0
AD-202600501,Affordable life insurance policies for families. Get a free quote today.,342,0,0
AD-202600502,Affordable life insurance policies for families. Get a free quote today.,246,0,0
AD-202600503,Click here to see a shocking viral video! WARNING: explicit details inside.,436,4,103
AD-202600504,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,76,5,102
AD-202600505,Affordable life insurance policies for families. Get a free quote today.,445,1,0
AD-202600506,Affordable life insurance policies for families. Get a free quote today.,278,1,0
AD-202600507,Earn standard rewards points back on everyday grocery purchases with our card.,378,0,0
AD-202600508,Earn standard rewards points back on everyday grocery purchases with our card.,432,1,0
AD-202600509,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,259,1,102
AD-202600510,"Standard household kitchen blender. 3 speeds, stainless steel blades.",716,0,0
AD-202600511,Affordable life insurance policies for families. Get a free quote today.,82,1,0
AD-202600512,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,535,3,102
AD-202600513,Earn standard rewards points back on everyday grocery purchases with our card.,690,0,0
AD-202600514,"Standard household kitchen blender. 3 speeds, stainless steel blades.",556,0,0
AD-202600515,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,195,3,102
AD-202600516,Get rich quick! Earn $5000/day from home with zero risk. Register now!,343,4,101
AD-202600517,Earn standard rewards points back on everyday grocery purchases with our card.,44,1,0
AD-202600518,Affordable life insurance policies for families. Get a free quote today.,591,1,0
AD-202600519,Affordable life insurance policies for families. Get a free quote today.,469,1,0
AD-202600520,Earn standard rewards points back on everyday grocery purchases with our card.,344,0,0
AD-202600521,Earn standard rewards points back on everyday grocery purchases with our card.,277,0,0
AD-202600522,Get rich quick! Earn $5000/day from home with zero risk. Register now!,171,2,101
AD-202600523,"Standard household kitchen blender. 3 speeds, stainless steel blades.",75,1,0
AD-202600524,Affordable life insurance policies for families. Get a free quote today.,42,0,0
AD-202600525,Click here to see a shocking viral video! WARNING: explicit details inside.,478,3,103
AD-202600526,Affordable life insurance policies for families. Get a free quote today.,128,1,0
AD-202600527,Earn standard rewards points back on everyday grocery purchases with our card.,486,1,0
AD-202600528,"Standard household kitchen blender. 3 speeds, stainless steel blades.",398,0,0
AD-202600529,Earn standard rewards points back on everyday grocery purchases with our card.,711,0,0
AD-202600530,Affordable life insurance policies for families. Get a free quote today.,292,1,0
AD-202600531,Earn standard rewards points back on everyday grocery purchases with our card.,657,0,0
AD-202600532,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,21,4,102
AD-202600533,Affordable life insurance policies for families. Get a free quote today.,430,1,0
AD-202600534,Earn standard rewards points back on everyday grocery purchases with our card.,584,1,0
AD-202600535,Affordable life insurance policies for families. Get a free quote today.,432,1,0
AD-202600536,Affordable life insurance policies for families. Get a free quote today.,601,1,0
AD-202600537,"Standard household kitchen blender. 3 speeds, stainless steel blades.",98,0,0
AD-202600538,"Standard household kitchen blender. 3 speeds, stainless steel blades.",91,0,0
AD-202600539,Click here to see a shocking viral video! WARNING: explicit details inside.,82,0,103
AD-202600540,"Standard household kitchen blender. 3 speeds, stainless steel blades.",152,1,0
AD-202600541,Earn standard rewards points back on everyday grocery purchases with our card.,215,0,0
AD-202600542,Affordable life insurance policies for families. Get a free quote today.,413,1,0
AD-202600543,"Standard household kitchen blender. 3 speeds, stainless steel blades.",407,0,0
AD-202600544,"Standard household kitchen blender. 3 speeds, stainless steel blades.",563,1,0
AD-202600545,"Standard household kitchen blender. 3 speeds, stainless steel blades.",554,1,0
AD-202600546,Earn standard rewards points back on everyday grocery purchases with our card.,686,0,0
AD-202600547,Affordable life insurance policies for families. Get a free quote today.,704,0,0
AD-202600548,Affordable life insurance policies for families. Get a free quote today.,396,1,0
AD-202600549,"Standard household kitchen blender. 3 speeds, stainless steel blades.",29,1,0
AD-202600550,Click here to see a shocking viral video! WARNING: explicit details inside.,531,3,103
AD-202600551,Click here to see a shocking viral video! WARNING: explicit details inside.,62,1,103
AD-202600552,Get rich quick! Earn $5000/day from home with zero risk. Register now!,209,1,101
AD-202600553,Get rich quick! Earn $5000/day from home with zero risk. Register now!,386,4,101
AD-202600554,"Standard household kitchen blender. 3 speeds, stainless steel blades.",349,1,0
AD-202600555,Earn standard rewards points back on everyday grocery purchases with our card.,634,1,0
AD-202600556,Get rich quick! Earn $5000/day from home with zero risk. Register now!,274,0,101
AD-202600557,Earn standard rewards points back on everyday grocery purchases with our card.,524,1,0
AD-202600558,Get rich quick! Earn $5000/day from home with zero risk. Register now!,655,5,101
AD-202600559,"Standard household kitchen blender. 3 speeds, stainless steel blades.",74,0,0
AD-202600560,"Standard household kitchen blender. 3 speeds, stainless steel blades.",599,1,0
AD-202600561,Affordable life insurance policies for families. Get a free quote today.,53,1,0
AD-202600562,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,371,1,102
AD-202600563,Click here to see a shocking viral video! WARNING: explicit details inside.,620,0,103
AD-202600564,Affordable life insurance policies for families. Get a free quote today.,666,0,0
AD-202600565,Affordable life insurance policies for families. Get a free quote today.,535,0,0
AD-202600566,"Standard household kitchen blender. 3 speeds, stainless steel blades.",359,1,0
AD-202600567,Get rich quick! Earn $5000/day from home with zero risk. Register now!,307,1,101
AD-202600568,"Standard household kitchen blender. 3 speeds, stainless steel blades.",486,1,0
AD-202600569,Affordable life insurance policies for families. Get a free quote today.,27,0,0
AD-202600570,Affordable life insurance policies for families. Get a free quote today.,244,1,0
AD-202600571,"Standard household kitchen blender. 3 speeds, stainless steel blades.",435,1,0
AD-202600572,Get rich quick! Earn $5000/day from home with zero risk. Register now!,614,0,101
AD-202600573,Affordable life insurance policies for families. Get a free quote today.,602,1,0
AD-202600574,Affordable life insurance policies for families. Get a free quote today.,57,0,0
AD-202600575,Get rich quick! Earn $5000/day from home with zero risk. Register now!,465,5,101
AD-202600576,Get rich quick! Earn $5000/day from home with zero risk. Register now!,554,1,101
AD-202600577,"Standard household kitchen blender. 3 speeds, stainless steel blades.",549,0,0
AD-202600578,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,49,0,102
AD-202600579,"Standard household kitchen blender. 3 speeds, stainless steel blades.",570,1,0
AD-202600580,"Standard household kitchen blender. 3 speeds, stainless steel blades.",608,0,0
AD-202600581,"Standard household kitchen blender. 3 speeds, stainless steel blades.",236,1,0
AD-202600582,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,521,1,102
AD-202600583,Affordable life insurance policies for families. Get a free quote today.,610,1,0
AD-202600584,Earn standard rewards points back on everyday grocery purchases with our card.,522,0,0
AD-202600585,Get rich quick! Earn $5000/day from home with zero risk. Register now!,665,3,101
AD-202600586,Earn standard rewards points back on everyday grocery purchases with our card.,404,1,0
AD-202600587,Affordable life insurance policies for families. Get a free quote today.,185,1,0
AD-202600588,Earn standard rewards points back on everyday grocery purchases with our card.,551,0,0
AD-202600589,Earn standard rewards points back on everyday grocery purchases with our card.,615,0,0
AD-202600590,Earn standard rewards points back on everyday grocery purchases with our card.,249,1,0
AD-202600591,"Standard household kitchen blender. 3 speeds, stainless steel blades.",483,1,0
AD-202600592,Earn standard rewards points back on everyday grocery purchases with our card.,500,1,0
AD-202600593,Get rich quick! Earn $5000/day from home with zero risk. Register now!,99,4,101
AD-202600594,Earn standard rewards points back on everyday grocery purchases with our card.,662,1,0
AD-202600595,"Standard household kitchen blender. 3 speeds, stainless steel blades.",481,0,0
AD-202600596,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,193,4,102
AD-202600597,"Standard household kitchen blender. 3 speeds, stainless steel blades.",427,1,0
AD-202600598,Click here to see a shocking viral video! WARNING: explicit details inside.,553,4,103
AD-202600599,"Standard household kitchen blender. 3 speeds, stainless steel blades.",499,0,0
AD-202600600,Earn standard rewards points back on everyday grocery purchases with our card.,92,1,0
AD-202600601,"Standard household kitchen blender. 3 speeds, stainless steel blades.",295,1,0
AD-202600602,"Standard household kitchen blender. 3 speeds, stainless steel blades.",378,0,0
AD-202600603,Affordable life insurance policies for families. Get a free quote today.,494,0,0
AD-202600604,Earn standard rewards points back on everyday grocery purchases with our card.,564,1,0
AD-202600605,Affordable life insurance policies for families. Get a free quote today.,49,1,0
AD-202600606,Affordable life insurance policies for families. Get a free quote today.,562,1,0
AD-202600607,Earn standard rewards points back on everyday grocery purchases with our card.,170,0,0
AD-202600608,Get rich quick! Earn $5000/day from home with zero risk. Register now!,37,2,101
AD-202600609,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,567,4,102
AD-202600610,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,426,4,102
AD-202600611,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,544,0,102
AD-202600612,Affordable life insurance policies for families. Get a free quote today.,284,1,0
AD-202600613,Earn standard rewards points back on everyday grocery purchases with our card.,342,0,0
AD-202600614,Get rich quick! Earn $5000/day from home with zero risk. Register now!,86,4,101
AD-202600615,"Standard household kitchen blender. 3 speeds, stainless steel blades.",481,1,0
AD-202600616,Affordable life insurance policies for families. Get a free quote today.,612,1,0
AD-202600617,Click here to see a shocking viral video! WARNING: explicit details inside.,721,5,103
AD-202600618,Earn standard rewards points back on everyday grocery purchases with our card.,328,1,0
AD-202600619,Earn standard rewards points back on everyday grocery purchases with our card.,469,0,0
AD-202600620,Get rich quick! Earn $5000/day from home with zero risk. Register now!,403,5,101
AD-202600621,"Standard household kitchen blender. 3 speeds, stainless steel blades.",392,1,0
AD-202600622,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,730,4,102
AD-202600623,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,200,5,102
AD-202600624,Earn standard rewards points back on everyday grocery purchases with our card.,251,1,0
AD-202600625,Affordable life insurance policies for families. Get a free quote today.,156,1,0
AD-202600626,Affordable life insurance policies for families. Get a free quote today.,626,0,0
AD-202600627,Get rich quick! Earn $5000/day from home with zero risk. Register now!,356,1,101
AD-202600628,"Standard household kitchen blender. 3 speeds, stainless steel blades.",202,0,0
AD-202600629,"Standard household kitchen blender. 3 speeds, stainless steel blades.",38,1,0
AD-202600630,Earn standard rewards points back on everyday grocery purchases with our card.,226,0,0
AD-202600631,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,178,0,102
AD-202600632,"Standard household kitchen blender. 3 speeds, stainless steel blades.",535,1,0
AD-202600633,Affordable life insurance policies for families. Get a free quote today.,418,0,0
AD-202600634,"Standard household kitchen blender. 3 speeds, stainless steel blades.",592,0,0
AD-202600635,Affordable life insurance policies for families. Get a free quote today.,459,1,0
AD-202600636,Earn standard rewards points back on everyday grocery purchases with our card.,295,1,0
AD-202600637,Affordable life insurance policies for families. Get a free quote today.,347,0,0
AD-202600638,Earn standard rewards points back on everyday grocery purchases with our card.,73,0,0
AD-202600639,Affordable life insurance policies for families. Get a free quote today.,558,1,0
AD-202600640,Get rich quick! Earn $5000/day from home with zero risk. Register now!,260,4,101
AD-202600641,Earn standard rewards points back on everyday grocery purchases with our card.,176,1,0
AD-202600642,Earn standard rewards points back on everyday grocery purchases with our card.,44,0,0
AD-202600643,"Standard household kitchen blender. 3 speeds, stainless steel blades.",396,0,0
AD-202600644,"Standard household kitchen blender. 3 speeds, stainless steel blades.",262,0,0
AD-202600645,"Standard household kitchen blender. 3 speeds, stainless steel blades.",521,0,0
AD-202600646,"Standard household kitchen blender. 3 speeds, stainless steel blades.",35,1,0
AD-202600647,Click here to see a shocking viral video! WARNING: explicit details inside.,524,4,103
AD-202600648,Affordable life insurance policies for families. Get a free quote today.,315,1,0
AD-202600649,Earn standard rewards points back on everyday grocery purchases with our card.,66,1,0
AD-202600650,Get rich quick! Earn $5000/day from home with zero risk. Register now!,207,4,101
AD-202600651,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,51,0,102
AD-202600652,Earn standard rewards points back on everyday grocery purchases with our card.,288,1,0
AD-202600653,"Standard household kitchen blender. 3 speeds, stainless steel blades.",632,0,0
AD-202600654,Affordable life insurance policies for families. Get a free quote today.,302,0,0
AD-202600655,Affordable life insurance policies for families. Get a free quote today.,282,0,0
AD-202600656,"Standard household kitchen blender. 3 speeds, stainless steel blades.",134,0,0
AD-202600657,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,618,0,102
AD-202600658,"Standard household kitchen blender. 3 speeds, stainless steel blades.",421,1,0
AD-202600659,"Standard household kitchen blender. 3 speeds, stainless steel blades.",340,1,0
AD-202600660,Get rich quick! Earn $5000/day from home with zero risk. Register now!,284,2,101
AD-202600661,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,242,2,102
AD-202600662,"Standard household kitchen blender. 3 speeds, stainless steel blades.",306,1,0
AD-202600663,"Standard household kitchen blender. 3 speeds, stainless steel blades.",536,1,0
AD-202600664,Earn standard rewards points back on everyday grocery purchases with our card.,612,1,0
AD-202600665,"Standard household kitchen blender. 3 speeds, stainless steel blades.",431,0,0
AD-202600666,"Standard household kitchen blender. 3 speeds, stainless steel blades.",534,0,0
AD-202600667,Earn standard rewards points back on everyday grocery purchases with our card.,61,1,0
AD-202600668,"Standard household kitchen blender. 3 speeds, stainless steel blades.",567,1,0
AD-202600669,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,278,1,102
AD-202600670,"Standard household kitchen blender. 3 speeds, stainless steel blades.",679,1,0
AD-202600671,Earn standard rewards points back on everyday grocery purchases with our card.,335,1,0
AD-202600672,"Standard household kitchen blender. 3 speeds, stainless steel blades.",323,0,0
AD-202600673,Affordable life insurance policies for families. Get a free quote today.,421,1,0
AD-202600674,"Standard household kitchen blender. 3 speeds, stainless steel blades.",341,0,0
AD-202600675,"Standard household kitchen blender. 3 speeds, stainless steel blades.",625,1,0
AD-202600676,Get rich quick! Earn $5000/day from home with zero risk. Register now!,619,4,101
AD-202600677,Earn standard rewards points back on everyday grocery purchases with our card.,537,0,0
AD-202600678,"Standard household kitchen blender. 3 speeds, stainless steel blades.",582,0,0
AD-202600679,Earn standard rewards points back on everyday grocery purchases with our card.,355,0,0
AD-202600680,"Standard household kitchen blender. 3 speeds, stainless steel blades.",554,1,0
AD-202600681,Affordable life insurance policies for families. Get a free quote today.,66,0,0
AD-202600682,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,470,1,102
AD-202600683,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,366,2,102
AD-202600684,Earn standard rewards points back on everyday grocery purchases with our card.,35,1,0
AD-202600685,Earn standard rewards points back on everyday grocery purchases with our card.,70,1,0
AD-202600686,Affordable life insurance policies for families. Get a free quote today.,693,0,0
AD-202600687,Affordable life insurance policies for families. Get a free quote today.,250,0,0
AD-202600688,Earn standard rewards points back on everyday grocery purchases with our card.,414,0,0
AD-202600689,Earn standard rewards points back on everyday grocery purchases with our card.,596,1,0
AD-202600690,Affordable life insurance policies for families. Get a free quote today.,483,0,0
AD-202600691,Affordable life insurance policies for families. Get a free quote today.,379,0,0
AD-202600692,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,432,2,102
AD-202600693,"Standard household kitchen blender. 3 speeds, stainless steel blades.",164,0,0
AD-202600694,Affordable life insurance policies for families. Get a free quote today.,330,0,0
AD-202600695,"Standard household kitchen blender. 3 speeds, stainless steel blades.",147,0,0
AD-202600696,Get rich quick! Earn $5000/day from home with zero risk. Register now!,680,3,101
AD-202600697,Click here to see a shocking viral video! WARNING: explicit details inside.,670,1,103
AD-202600698,"Standard household kitchen blender. 3 speeds, stainless steel blades.",72,1,0
AD-202600699,"Standard household kitchen blender. 3 speeds, stainless steel blades.",177,0,0
AD-202600700,"Standard household kitchen blender. 3 speeds, stainless steel blades.",156,1,0
